net_type,area_no,train_type,mse_median,nse_median,log_nse_median,atpe_median,rmse_median,bias_median,kge_median,mse_mean,nse_mean,log_nse_mean,atpe_mean,rmse_mean,bias_mean,kge_mean
CNN-GNN-LSTM,3,min_mse,0.12567190825939178,0.7724142074584961,0.6946300268173218,0.20486873388290405,0.8729937076568604,-0.02066737413406372,0.8252954483032227,0.19093358516693115,0.7703832387924194,0.40224772691726685,0.2191692292690277,0.9705021977424622,-0.030410783365368843,0.8242260217666626
LSTM,3,new,0.16274143755435944,0.7274494171142578,0.84837806224823,0.22391332685947418,0.993441104888916,0.0033390559256076813,0.831274688243866,0.2140195071697235,0.7270394563674927,0.7433199882507324,0.2350488156080246,1.0398764610290527,-0.0007767861243337393,0.8227329254150391
LSTM,3,max_nse,0.14991134405136108,0.7505778670310974,0.8657482862472534,0.22521650791168213,0.9534747004508972,0.008935417048633099,0.8342572450637817,0.2003510296344757,0.7488200068473816,0.7706456184387207,0.23240776360034943,1.0049195289611816,0.0059288120828568935,0.8150656819343567
LSTM,3,min_mse,0.1397276222705841,0.7501980066299438,0.8922755122184753,0.2212490737438202,0.9204385280609131,0.0180585328489542,0.833905816078186,0.19608886539936066,0.7534090876579285,0.8060023188591003,0.22650913894176483,0.9893871545791626,0.01293498557060957,0.8237241506576538
CNN-GNN-LSTM,9,new,0.02539406530559063,0.9704121947288513,0.7681451439857483,0.09131292998790741,0.0797819271683693,-0.020573720335960388,0.9489918947219849,0.04807376116514206,0.9647915959358215,0.8182640075683594,0.09853795915842056,0.10055512189865112,-0.024663472548127174,0.9451529383659363
CNN-GNN-LSTM,9,max_nse,0.01689884066581726,0.9724705219268799,0.9051260352134705,0.08589186519384384,0.06508147716522217,-0.018163619562983513,0.9462809562683105,0.04326017573475838,0.9698927998542786,0.8740067481994629,0.08984994888305664,0.09367673844099045,-0.021466869860887527,0.9362806677818298
CNN-GNN-LSTM,9,min_mse,0.02009551040828228,0.976494550704956,0.35322970151901245,0.09168345481157303,0.07097183167934418,-0.01053550373762846,0.9712087512016296,0.04032919183373451,0.9720645546913147,-0.3413369655609131,0.10216079652309418,0.09080681949853897,-0.03913797810673714,0.9424611330032349
CNN-LSTM,9,new,0.026779748499393463,0.9652289152145386,0.7964614629745483,0.0971532091498375,0.08188238739967346,-0.020151931792497635,0.9465916752815247,0.054339852184057236,0.960176944732666,0.7632735967636108,0.10160480439662933,0.10727517306804657,-0.017532559111714363,0.9512869715690613
CNN-LSTM,9,max_nse,0.01914925128221512,0.9738775491714478,0.5752007961273193,0.0943174883723259,0.06926658004522324,-0.02484460175037384,0.9504249691963196,0.051785822957754135,0.9687104821205139,0.5214926600456238,0.09507562220096588,0.09865297377109528,-0.02760135754942894,0.9368389248847961
CNN-LSTM,9,min_mse,0.019865721464157104,0.9764792323112488,0.7514114379882812,0.08949689567089081,0.07056490331888199,-0.043994031846523285,0.9347336888313293,0.04378708824515343,0.9718198776245117,0.7623014450073242,0.09248178452253342,0.09274350106716156,-0.03949933871626854,0.9356411695480347
LSTM,9,new,0.02315477840602398,0.9669573307037354,0.8855290412902832,0.09512216597795486,0.07618311792612076,-0.02202395722270012,0.9469345808029175,0.053223107010126114,0.963150680065155,0.8362746834754944,0.09954502433538437,0.1042812243103981,-0.01936260424554348,0.9457080960273743
LSTM,9,max_nse,0.017292261123657227,0.9771245718002319,0.8950890302658081,0.08695513755083084,0.06583304703235626,-0.012954894453287125,0.9764916896820068,0.04300171136856079,0.9726167917251587,0.8254683613777161,0.09169317781925201,0.09116558730602264,-0.004638890735805035,0.9643867611885071
LSTM,9,min_mse,0.021007072180509567,0.9726630449295044,0.8962038159370422,0.08736422657966614,0.07256180793046951,-0.010200696997344494,0.9623782634735107,0.043016042560338974,0.9695005416870117,0.8293709754943848,0.09502818435430527,0.09404850751161575,-0.005758825223892927,0.963282585144043
CNN-GNN-LSTM,10,new,0.02499835006892681,0.6880071759223938,0.6368866562843323,0.4595530331134796,0.32766830921173096,0.09939377009868622,0.7008705139160156,0.1343018114566803,0.6335874795913696,0.5987985134124756,0.5160268545150757,0.5553280711174011,0.21914906799793243,0.62592613697052
CNN-GNN-LSTM,10,max_nse,0.023597445338964462,0.6739177703857422,-0.3742332458496094,0.4134677052497864,0.31835320591926575,-0.16024892032146454,0.7170473337173462,0.12853634357452393,0.6823025345802307,-1.745893120765686,0.38486528396606445,0.5335407257080078,-0.15545141696929932,0.7047724723815918
